,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,LE_angle,RE_angle,Xbound,Ybound,frame_num,action
321,[      327.5      326.75],[        330       308.5],[     326.25      311.75],[     360.25         303],[     398.25         304],[     384.25       410.5],[     454.25      394.75],[        363       546.5],[        450       535.5],[     314.75         654],[     375.75         635],[     408.25         642],[        459         636],[     375.25       799.5],[     396.75       784.5],[        400         981],[      496.5       925.5],195.29165832411434,215.00190414812982,"[272.875, 568.875]","[233.4375, 1045.9375]",322,walk
322,[        316      324.75],[      318.5         308],[      314.5      311.25],[     345.25      301.75],[        387      303.75],[     368.75         407],[        444       393.5],[        336       542.5],[     431.25         531],[        282         647],[      341.5         625],[     395.75         638],[     448.75         632],[     363.75         799],[        386         777],[        379       991.5],[        481       919.5],193.7398416919096,218.37729561165844,"[243.84375, 531.59375]","[232.359375, 1047.359375]",323,walk
323,[     303.75      325.25],[     305.75       307.5],[     302.25         311],[     334.75       301.5],[        374       303.5],[     350.25         407],[      434.5      395.25],[      310.5         539],[     446.75         536],[        253         639],[        449       651.5],[     379.25         639],[        432         636],[        355         800],[     347.25         778],[        378       988.5],[        445       929.5],193.13994342143368,183.8581218274213,"[206.8125, 495.0625]","[231.4375, 1043.9375]",324,walk
324,[     291.25       323.5],[     293.25       305.5],[        290      308.75],[     322.25         300],[        360       302.5],[      337.5         406],[      423.5       397.5],[        283       535.5],[      442.5       537.5],[     223.75         631],[        439         645],[      367.5       640.5],[      417.5         637],[        349         804],[      318.5       770.5],[        375         993],[      405.5         918],188.99248066736106,189.59342225529062,"[178.875, 464.625]","[230.25, 1045.25]",325,walk
325,[     277.75      324.25],[     280.75      306.25],[     276.75       309.5],[        310      301.25],[      348.5         305],[      322.5         404],[     417.75         403],[     257.25       530.5],[        434         551],[      200.5         622],[        431         646],[      351.5         639],[     400.75         637],[      344.5         805],[        305       772.5],[     377.75       993.5],[      362.5         948],184.52280947220774,188.07456239950574,"[151.8125, 455.0625]","[232.9375, 1044.4375]",326,walk
326,[     265.25      324.25],[        268      306.75],[     263.75         310],[      297.5         301],[     337.25       305.5],[     308.75      405.25],[     404.75         405],[        237         527],[      425.5       551.5],[     178.25         615],[     422.25         641],[     338.25       642.5],[      384.5       640.5],[      343.5       817.5],[     286.25       778.5],[        377        1001],[     321.25         948],183.21581713101858,190.1413078725396,"[132.3125, 446.8125]","[232.9375, 1044.4375]",327,walk
327,[      253.5         324],[        256      306.75],[     252.38         310],[        285       301.5],[        326       304.5],[     294.25       405.5],[      390.5         402],[     215.75       520.5],[      411.5       539.5],[        160         606],[        412         635],[        326         644],[     376.25       640.5],[        339         821],[     276.75       786.5],[     375.75        1005],[      276.5       953.5],178.7884462707926,188.38355167342556,"[119.125, 439.875]","[233.0, 1047.0]",328,walk
328,[     240.88         326],[     242.62         309],[     239.62      311.25],[     272.25       303.5],[      314.5      305.75],[        279      407.25],[        381         403],[     195.75       522.5],[      401.5       542.5],[     142.25       605.5],[      403.5       637.5],[        312         646],[      366.5       642.5],[        334         823],[      268.5         792],[        375        1002],[     245.75         956],176.96275982308862,187.15392507783199,"[105.9375, 427.9375]","[232.75, 1050.75]",329,walk
329,[      226.5         325],[     230.62      309.75],[     226.88      310.25],[     260.25      312.75],[     308.25       308.5],[     260.75         411],[      367.5       408.5],[     182.62         518],[     390.25       544.5],[     129.62         603],[      384.5         638],[        302         643],[      354.5       639.5],[        320       819.5],[        262       796.5],[      380.5         999],[     215.88         965],175.81006916371325,193.01558304291277,"[93.75, 414.5]","[230.65625, 1039.65625]",330,walk
330,[     217.25      331.25],[     218.75       314.5],[        216      315.75],[      246.5      307.25],[     290.25      311.25],[     250.88         411],[     357.25       410.5],[     164.38       523.5],[        373         553],[     111.56         608],[        368         647],[     280.75         649],[      342.5       644.5],[     309.75       818.5],[      248.5       797.5],[     370.75         996],[     184.62         955],174.44909961720052,189.35187037893166,"[81.375, 406.125]","[239.65625, 1049.15625]",331,walk
331,[     202.88      333.25],[     205.12      316.75],[     201.75         318],[     234.75      310.75],[     277.75         313],[      237.5         414],[      344.5       414.5],[     156.75         527],[      357.5         555],[     100.81       608.5],[      351.5         644],[     264.25         651],[        325       647.5],[     297.75         821],[     233.38         797],[     368.75       995.5],[     179.62       960.5],178.9140777703966,189.14313834755862,"[66.3125, 406.8125]","[241.6875, 1050.1875]",332,stand
332,[     189.62      334.75],[     191.62      318.25],[     188.62      319.25],[     220.75       312.5],[     264.75         315],[     225.62      416.75],[        331       417.5],[     147.75         535],[      336.5         565],[     89.062         614],[      335.5       657.5],[     247.25         651],[      306.5       649.5],[      282.5         822],[     220.88         802],[     365.25         993],[     176.62         964],183.240513000143,182.75485314559478,"[53.375, 408.375]","[244.0625, 1049.5625]",333,stand
333,[     176.88      334.25],[     178.62       317.5],[      176.5      318.75],[        207      312.25],[     252.62       315.5],[     215.75         418],[      317.5       417.5],[      146.5       540.5],[        322       564.5],[     79.438       622.5],[      315.5       659.5],[     232.38         652],[        292         650],[      268.5         823],[     216.75       809.5],[      361.5         985],[      172.5         969],189.7977724869536,185.66754207868397,"[40.96875, 405.96875]","[243.875, 1049.375]",334,stand
334,[        163         332],[     165.25       314.5],[     163.12      316.75],[     193.75         310],[     234.62      313.75],[     205.25      416.25],[      298.5         414],[     148.25         542],[     299.75       549.5],[     75.188         626],[     298.25         663],[      219.5         646],[        275       644.5],[     238.25         816],[     210.75         804],[      348.5         973],[     175.25         965],196.63262285387876,181.28571272355802,"[30.96875, 399.46875]","[242.90625, 1046.90625]",335,walk
335,[     148.75       328.5],[     152.12       311.5],[     149.12      313.75],[        180      306.75],[     221.38         311],[     192.25      415.25],[        283         407],[     147.25         544],[     272.75       534.5],[     74.562       632.5],[     208.12         602],[        215       641.5],[      268.5         640],[     203.25         816],[     201.88         804],[      334.5       959.5],[     176.25       964.5],200.13194464537017,219.1572112890483,"[23.5, 387.0]","[239.46875, 1048.96875]",336,walk
336,[     135.38      325.75],[     139.25      308.75],[     135.25      311.25],[     168.38       303.5],[        208      309.25],[      179.5      410.75],[     269.75         404],[     149.25         543],[        262         535],[     77.062       636.5],[     196.25       606.5],[     202.25         640],[     257.25         639],[      178.5       815.5],[     193.88       806.5],[        316         947],[     176.62       972.5],204.7864282970425,219.21534362994922,"[21.46875, 385.21875]","[237.5, 1047.0]",337,walk
337,[     118.25         319],[     122.75      302.75],[      117.5      304.25],[     152.12      304.75],[      201.5      306.25],[     168.25       405.5],[     247.62      398.75],[        148       539.5],[     245.75         528],[     82.312         638],[      158.5       602.5],[        190         640],[     250.12         636],[     137.38       814.5],[     193.25         801],[     254.62         961],[      250.5         962],205.1049753426858,228.6759220403353,"[26.34375, 334.59375]","[231.34375, 1022.84375]",338,walk
338,[     109.25       321.5],[     112.62       304.5],[     108.12         308],[     143.75         300],[     180.88       303.5],[     161.25         405],[     236.75       394.5],[     144.25       539.5],[     242.88         532],[     85.812         644],[     183.62         623],[     179.88       637.5],[     238.38         635],[     114.94       801.5],[     188.62         803],[        231       935.5],[     190.75         972],202.0107326932932,215.61868751888224,"[37.6875, 310.9375]","[230.625, 1032.625]",339,walk
339,[     95.625         320],[     98.938       302.5],[      94.75         306],[     131.38         298],[        164         302],[     154.88         402],[        220         390],[     138.88       540.5],[     229.25         529],[     90.375         649],[     169.25         622],[      172.5         638],[        226         634],[     87.438       793.5],[        184         793],[        191         945],[     192.62         961],197.49506782799017,216.63577697197948,"[47.0, 268.625]","[230.25, 1027.75]",340,walk
340,[     81.562         316],[      87.25      300.75],[     81.312       302.5],[     121.12      303.75],[     156.25      301.75],[     145.25       400.5],[     198.88       389.5],[     138.62       537.5],[     193.88         528],[     96.062         650],[     127.25       626.5],[      157.5       638.5],[     214.38       635.5],[       61.5       788.5],[      177.5         798],[     182.62         928],[     200.25         965],197.95476779720286,212.0067190677115,"[23.0625, 256.4375]","[231.625, 1026.625]",341,walk
341,[         69      317.75],[     73.125       300.5],[     67.125         304],[        108       295.5],[     133.62         299],[        138       397.5],[      189.5         382],[     131.75         536],[     193.62         527],[     100.44       652.5],[     127.12       633.5],[     147.75         637],[     201.75         633],[     39.938       783.5],[     167.62       790.5],[     145.62         936],[     182.62       954.5],192.46043741482154,213.6107242120062,"[2.765625, 245.265625]","[227.6875, 1022.1875]",342,walk
342,[     53.875      313.75],[      59.25      298.25],[     52.094      300.25],[      94.25         301],[     125.56         299],[     120.88       396.5],[     167.12         385],[     124.25         535],[     143.62         534],[     102.56         651],[     70.812       607.5],[     132.25         641],[     188.75       636.5],[     26.375         783],[     161.25         792],[        116         950],[     178.25       964.5],191.98575076451763,215.768024760661,"[1.03125, 232.90625]","[233.125, 1025.125]",343,walk
343,[     40.906       314.5],[     47.031      299.75],[     38.875      300.75],[     81.375      302.25],[     113.75         300],[     108.75      395.75],[     151.25      384.75],[     117.06         535],[     122.25         533],[     102.69       651.5],[     51.531       598.5],[     119.38         640],[     176.25       634.5],[       19.5       782.5],[     153.75         791],[     69.375       956.5],[     176.62         962],190.4504086096512,216.1258369259761,"[0.5, 221.25]","[232.15625, 1024.15625]",344,walk
344,[       28.5      315.75],[     34.969       300.5],[         26       301.5],[     69.688         301],[     102.12      301.25],[      95.25         396],[      137.5         386],[     110.12         537],[     98.375       536.5],[        105         654],[     17.375         598],[     104.31       639.5],[      161.5       631.5],[     14.625         786],[     148.88         789],[         21         965],[     174.25       961.5],188.53037371133735,218.2196448791215,"[-0.546875, 211.828125]","[232.0625, 1021.0625]",345,walk
345,[     14.875       319.5],[     19.438      302.25],[     13.688         306],[      54.75       298.5],[      78.75      300.25],[       83.5       398.5],[      133.5      382.75],[     100.88       540.5],[     108.06         534],[     101.12         657],[     22.188       584.5],[       89.5         642],[     145.88         634],[        9.5         792],[     147.75       797.5],[       5.25         964],[        173       967.5],186.85303467656587,229.99497816221586,"[-0.6875, 208.3125]","[233.0, 1029.0]",346,walk
346,[      2.375       319.5],[     6.1875       302.5],[       1.75         306],[         41         299],[      71.75         302],[     69.875      399.75],[     127.75         388],[     87.688         540],[      136.5         534],[     93.125         658],[     94.125         644],[       76.5         642],[     134.25       634.5],[     3.9375         793],[     139.25       793.5],[       6.25       944.5],[      168.5       961.5],184.59976630745365,204.49776556226922,"[-1.125, 208.5]","[233.375, 1012.875]",347,walk
347,[     -3.875         317],[      -0.75         301],[     -2.875       303.5],[       27.5       300.5],[     63.531       299.5],[     55.438      402.75],[     106.56       387.5],[     74.625       541.5],[     108.88         533],[     84.875         658],[     77.125         646],[     65.312         645],[     118.62         635],[     -1.875         794],[     128.25         793],[     32.375       945.5],[     163.38       959.5],182.84530179052456,196.6045053271256,"[-1.0, 205.375]","[232.3125, 1010.8125]",348,walk
348,[     -5.375       315.5],[     -4.375       300.5],[     -3.875      302.75],[     12.844         302],[     55.562         300],[     41.125       402.5],[     88.625         389],[     59.812         543],[       90.5       533.5],[         72         661],[      66.25         651],[     56.438       640.5],[     103.12         631],[     16.875         789],[     109.94         791],[     95.562       953.5],[     160.12       957.5],181.67945572880248,192.4045642530497,"[-1.0, 202.75]","[232.625, 1011.125]",349,walk
349,[    -4.9375      312.25],[    -5.1875         298],[      -3.25      300.25],[     3.3125         301],[     43.812         299],[     26.188         402],[     69.938      389.75],[     42.812         545],[         67         536],[     52.375         662],[     51.625       652.5],[     48.375       640.5],[     92.938       632.5],[     7.3125         779],[     89.875         790],[     92.312       944.5],[      155.5         956],181.95892265744033,186.3674622132137,"[-0.6875, 193.0625]","[231.5, 1010.0]",350,stand
350,[    -1.8125         309],[     0.5625      295.25],[     -2.375      296.75],[       9.25       294.5],[     31.031         293],[     16.938         400],[     54.375       387.5],[     21.688         545],[      48.25       532.5],[     25.875       659.5],[     27.125       643.5],[     42.188         637],[      76.75       629.5],[      22.25         785],[       68.5         790],[     133.25         944],[     153.62       947.5],179.78176896571247,188.35658806779895,"[-0.46875, 190.03125]","[229.1875, 1010.6875]",351,walk
351,[      -2.25         300],[     0.6875       287.5],[     -2.375       288.5],[       7.75       292.5],[       23.5      290.75],[     13.812       398.5],[     41.625       382.5],[     9.8125       544.5],[     34.781       527.5],[     5.8125         663],[     14.344         640],[         38       632.5],[     57.156         623],[     36.062       791.5],[     38.469       781.5],[      147.5         944],[     136.75         926],180.3639458901695,187.59418625111476,"[-0.25, 186.625]","[225.4375, 1007.9375]",352,walk
352,[    -0.4375         323],[    0.59375         308],[     -1.125       307.5],[     2.8125       316.5],[     19.156      294.25],[     5.5312         389],[       34.5       380.5],[    0.71875       518.5],[     30.562         512],[    -1.5625         604],[     7.1875       606.5],[     23.656       622.5],[         45       618.5],[     13.469         791],[      12.75       787.5],[        129       924.5],[     120.88         924],179.4001068199072,192.17840189898283,"[1.125, 174.875]","[233.5, 1015.0]",353,walk
353,[     3.4375      314.25],[      4.625      298.75],[     1.5625         298],[     3.9688         310],[     9.8438       295.5],[     4.6562         386],[     19.906      374.25],[     3.5938         516],[     20.312       502.5],[     21.562         587],[     -2.125         585],[     14.844       623.5],[     31.062         618],[     6.0312         789],[     9.4375         785],[     106.81         916],[      102.5       914.5],165.32946144672232,195.39620194063468,"[0.6875, 162.5625]","[223.3125, 1008.8125]",354,walk
354,[     6.3125       308.5],[     7.0625       297.5],[     5.0938      296.75],[      2.125         301],[       3.75       298.5],[     4.5625      386.25],[     12.375         379],[     8.8125         520],[      22.75         512],[     34.312         612],[     10.719         597],[        8.5         620],[      18.25         616],[       -1.5         770],[      2.875       760.5],[     83.625         904],[     81.875       898.5],166.32801564265907,192.51683131078806,"[-0.6875, 135.5625]","[217.6875, 1002.6875]",355,walk
355,[     11.422       307.5],[     10.281         291],[     10.719      288.75],[   -0.53125      299.25],[     4.2344      324.25],[     2.4688      386.25],[     4.7031         376],[     9.3438       531.5],[     9.4062         527],[     20.812         625],[     7.5312         630],[     2.6875       618.5],[     16.891         614],[     13.625         750],[     15.906       748.5],[     55.438         889],[     51.688         890],175.71691876445885,182.82687809521641,"[-0.40625, 101.78125]","[190.4375, 991.9375]",356,walk
356,[     202.12      466.25],[     202.75         462],[     200.38         462],[     183.62         459],[     189.88         460],[        160      478.75],[      196.5       479.5],[     154.25      510.75],[     205.75       513.5],[        175         523],[     199.25       525.5],[     160.88         543],[     185.62       544.5],[     163.25       586.5],[     184.62       588.5],[      160.5         626],[     179.38         629],110.369334515563,223.66239345553717,"[148.140625, 211.984375]","[443.3125, 636.5625]",357,walk
357,[     200.88      465.75],[     201.62       461.5],[     199.12       461.5],[     182.75       458.5],[     188.62       459.5],[        159      478.75],[     195.25      479.25],[     154.25       510.5],[        205         513],[     177.38         522],[     198.88         526],[        161         543],[     185.75         544],[     163.75         586],[     184.88         588],[     161.25         625],[     180.12         629],107.93233121571008,221.34106770051787,"[147.453125, 211.109375]","[443.0, 636.0]",358,stand
358,[     200.75       465.5],[     201.62         461],[     198.75      461.25],[     182.25       458.5],[        187       459.5],[     158.25         479],[     194.12      479.25],[        153         511],[     204.62       512.5],[     173.62         523],[     199.12       525.5],[      160.5         544],[     185.12       544.5],[        163         588],[     184.12         590],[     160.38       626.5],[     179.62         630],110.87453689183138,220.45766881131266,"[146.40625, 211.46875]","[442.625, 636.375]",359,stand
359,[      199.5         465],[     200.25      460.25],[     197.25       460.5],[     180.75      457.75],[     184.88         459],[     157.12         479],[      192.5      478.25],[      151.5      510.25],[     203.75       509.5],[     171.75         524],[     195.25       526.5],[        160       543.5],[      184.5         544],[     163.38       587.5],[      184.5       588.5],[     161.12       626.5],[     180.38       629.5],113.97301505206123,226.3639275316029,"[145.65625, 210.59375]","[442.09375, 636.84375]",360,stand
360,[     198.38      464.25],[     199.25      459.75],[     196.25         460],[     180.12       457.5],[     183.75       458.5],[      156.5      478.75],[      191.5         478],[        150       509.5],[     201.62         509],[        167       523.5],[      190.5       524.5],[        160         543],[     184.38       543.5],[     163.38       586.5],[        185       587.5],[     161.38         626],[     180.62         629],117.5368573050764,233.75629540054246,"[144.953125, 208.046875]","[441.59375, 636.09375]",361,stand
361,[     196.75         464],[     197.38       459.5],[     194.75      459.75],[      177.5      456.75],[      183.5         458],[        155         479],[        191         478],[     148.75         510],[     199.75       508.5],[        162       524.5],[     191.38         524],[     159.62         542],[     184.25       542.5],[     163.25       586.5],[        185       587.5],[     161.62         626],[     180.75       628.5],126.18038443152548,224.39075843762964,"[143.796875, 206.609375]","[440.6875, 635.4375]",362,stand
362,[        195         465],[     195.25      460.75],[     193.25      460.75],[     176.12       457.5],[     182.75       458.5],[     154.25      479.25],[     189.38         477],[     148.25      510.25],[     198.62       506.5],[        161       524.5],[      192.5       522.5],[     159.75         543],[        184         543],[      162.5       587.5],[     184.38       588.5],[     161.62         627],[     180.62         629],127.2257674764659,218.356773333908,"[143.375, 205.3125]","[442.2421875, 635.2421875]",363,stand
363,[      193.5      464.75],[     193.88       460.5],[     191.88       460.5],[     175.75      457.25],[     182.12         458],[      153.5         479],[        188         477],[     147.38      509.25],[     197.38      505.75],[     159.75         523],[        191         522],[      159.5         541],[     183.25       541.5],[     162.88       585.5],[      184.5       586.5],[     162.12       625.5],[     180.88         628],126.5663284112448,219.4809310554091,"[142.65625, 204.59375]","[442.90625, 635.78125]",364,stand
364,[     192.62       464.5],[     192.75      460.25],[     190.75      460.25],[     175.25      457.25],[      181.5      457.75],[     152.88       478.5],[        187       476.5],[     146.75         509],[        196         506],[     161.12         521],[     189.88       522.5],[     158.62         540],[      182.5       540.5],[     163.12         584],[        185         585],[     162.38       624.5],[        181         627],118.499459028921,217.3316843726252,"[142.046875, 204.046875]","[443.28125, 635.40625]",365,stand
365,[        192         464],[     191.75      459.75],[     190.38       459.5],[     170.62      457.25],[     180.25       457.5],[      151.5         478],[      187.5      477.25],[     145.25         507],[     194.75      506.25],[     158.75       521.5],[        191       522.5],[     157.25       538.5],[     182.25         539],[        163       582.5],[     185.38       583.5],[     162.88         622],[     181.25       625.5],124.88320496920541,207.030860259843,"[140.40625, 204.09375]","[442.3125, 635.5625]",366,stand
366,[     190.62         463],[     190.12      458.75],[        189       458.5],[     167.88      456.75],[     179.12      457.25],[     150.38      477.75],[     185.75       476.5],[      144.5         507],[     193.62       505.5],[      157.5         522],[     189.62         522],[     156.88       538.5],[     181.75       538.5],[      162.5         582],[     185.38         583],[     162.25         622],[     181.62         625],127.72860479353223,208.81940386944183,"[139.515625, 203.828125]","[441.34375, 635.34375]",367,stand
367,[        190       462.5],[      189.5       458.5],[      188.5         458],[     167.38      456.25],[     178.88      456.75],[        150      476.75],[     184.75      475.75],[     143.62      505.25],[     192.75      503.75],[      155.5         522],[        188         523],[        156         537],[     180.38         537],[        162         581],[     185.12         582],[     161.75         621],[     181.62         624],132.05645971887813,209.80642346394401,"[139.171875, 203.234375]","[440.703125, 634.578125]",368,stand
368,[        189      462.75],[     188.38       458.5],[      187.5         458],[     166.12       456.5],[     177.62      456.75],[     149.12         477],[      183.5      475.25],[      143.5      505.75],[     191.75         503],[     156.88         523],[        188       524.5],[     155.25         536],[     179.75         536],[     162.38         581],[     185.38       581.5],[     162.12         621],[     181.62         624],131.14114586963436,206.45099204537206,"[138.78125, 203.03125]","[439.9375, 634.6875]",369,stand
369,[        189       462.5],[     188.25      458.25],[     187.25      457.75],[        166       456.5],[     176.88      456.75],[     148.88      476.75],[        183         475],[     142.75         505],[     190.75      502.25],[        154       523.5],[      188.5         526],[     154.88       535.5],[     179.12       535.5],[     162.62         580],[     185.75       580.5],[     162.25       620.5],[        182       623.5],136.4626822953727,201.28781565753962,"[138.578125, 203.265625]","[439.140625, 634.390625]",370,stand
370,[     188.88      462.25],[     188.12         458],[        187       457.5],[      166.5       456.5],[     176.75      456.75],[     148.75      476.25],[     182.75         475],[     142.62      504.25],[     190.12       502.5],[     154.88       523.5],[     188.38       526.5],[     154.12         534],[     178.25         534],[      163.5         578],[     186.38       578.5],[     163.25         619],[     182.25       622.5],135.1897204308253,199.18287143675514,"[138.4375, 203.625]","[439.078125, 634.078125]",371,stand
371,[     188.75         462],[     187.88         458],[     186.75       457.5],[     166.38       456.5],[     176.12       456.5],[     148.38      475.75],[     181.62      474.75],[     142.38      504.25],[     189.25      502.75],[     156.38       522.5],[     188.12         526],[     151.88       532.5],[     176.12         533],[     164.25         573],[     189.25         572],[      163.5       616.5],[     182.62       619.5],130.6186886273217,198.00368894801494,"[138.359375, 203.859375]","[438.8359375, 632.4609375]",372,stand
372,[     188.75         462],[     187.88      457.75],[     186.75      457.25],[     166.38      456.25],[     176.12      456.25],[     148.38       475.5],[      181.5       474.5],[        142       503.5],[     188.88         503],[     155.88       521.5],[     187.25       524.5],[      150.5         532],[     174.62         532],[     164.25         568],[        192         565],[     163.25       613.5],[     183.38         616],129.54739117905743,198.8305657027364,"[138.015625, 204.078125]","[438.1875, 630.8125]",373,stand
373,[     188.88      461.75],[        188       457.5],[     186.88         457],[     166.75         456],[     175.88         456],[        148         475],[      181.5         474],[     141.75         503],[        189      501.75],[     156.38       520.5],[     186.88         523],[     150.88         532],[     175.25         532],[     163.62         570],[     190.62         569],[     162.88         615],[        183       617.5],127.53105133731822,200.8346004458102,"[137.796875, 203.921875]","[437.75, 630.375]",374,stand
374,[     188.88       461.5],[     188.12      457.25],[     186.75      456.75],[     166.75       455.5],[     175.88       455.5],[        148       474.5],[     181.75      473.75],[      141.5       502.5],[        189      501.75],[     154.75         521],[     189.25       525.5],[     151.88       532.5],[      176.5       532.5],[     162.12       575.5],[     187.75       575.5],[        162       617.5],[     182.62         620],131.31982966504907,193.9136087644741,"[137.703125, 203.765625]","[437.3203125, 630.3203125]",375,stand
375,[     4.1875       438.5],[     4.6094      429.75],[     4.2969      427.25],[       4.75       431.5],[     4.9062         450],[     2.9062         502],[     12.016         501],[     4.5625         552],[     10.688         558],[     11.562       614.5],[     11.234       616.5],[     4.5312       615.5],[     11.172         616],[     12.734       706.5],[     9.2344       708.5],[     11.625         811],[     9.0938         812],175.50673366327146,178.12962273200688,"[0.265625, 48.546875]","[294.0625, 893.5625]",376,walk
376,[     4.7969      434.75],[     5.5781       426.5],[     4.3125      424.25],[       5.75      426.25],[     1.3906       437.5],[     1.6562      495.75],[     8.6875      494.25],[     2.0625         547],[     5.9375         550],[      23.25       609.5],[      22.25         611],[     4.3906         610],[     9.2812         611],[      14.75         706],[     9.4531         708],[     14.094         815],[      9.875         816],161.72750548319007,162.204438047074,"[-0.3125, 63.4375]","[293.5625, 896.0625]",377,stand
377,[      8.125      442.75],[      8.875         434],[     8.5156       431.5],[     5.7656         433],[     5.9062         433],[      4.125      489.75],[     9.7188      487.25],[     1.0938         546],[     4.6875         548],[     28.219         602],[     27.906         604],[     7.0312       608.5],[      10.25         610],[     16.938         702],[     12.031       705.5],[     19.719         803],[     10.625         807],151.07099016771468,152.74572925755407,"[0.25, 70.5]","[303.8125, 886.8125]",378,walk
378,[     10.547         434],[     11.156         426],[     12.422         423],[     4.8125         427],[     6.7188         435],[     3.4062         495],[     6.2031       493.5],[    -1.2188         545],[      0.125         549],[     27.594       598.5],[     29.203         598],[     2.0625       639.5],[     2.8438         640],[      4.125         787],[     3.2969         789],[      6.375         928],[     5.0938         932],146.41043179495585,143.06390335085914,"[0.125, 69.9375]","[318.125, 996.625]",379,walk
379,[     7.8281         418],[     8.3125       410.5],[     7.8125         408],[     5.8906       412.5],[     1.0625         425],[     2.1875      494.75],[     3.9375       494.5],[     1.3438       543.5],[     -2.125         547],[     26.125         594],[     24.625         593],[      0.625         649],[     1.3125       650.5],[     4.1875         814],[     2.7969       814.5],[     8.0156       958.5],[      6.875         961],152.87043148240903,143.23394554042005,"[0.203125, 63.671875]","[311.84375, 1010.34375]",380,walk
380,[     9.0625       408.5],[     8.7188       399.5],[     8.8594       397.5],[     5.4375         404],[      4.375         423],[     3.2188       497.5],[      6.875         497],[     2.9062         546],[  -0.023438       550.5],[      21.75         589],[     20.688       588.5],[       1.25       651.5],[     3.5156         652],[          5       812.5],[     3.8906         812],[     10.844         958],[     9.8125         959],155.9665130997264,144.0611908625119,"[0.3125, 55.6875]","[302.9375, 1012.4375]",381,stand
381,[     7.7656         420],[     7.5312       412.5],[     7.6562       410.5],[      3.625       417.5],[     5.6406         439],[     2.4062         507],[      6.375         507],[     2.6562         548],[     1.9688         554],[     12.031         584],[     13.188       584.5],[   -0.20312         653],[     2.5469         653],[     7.3438         808],[     6.5938         807],[     17.375       956.5],[     16.844       957.5],165.75278465400862,154.44924635740162,"[-0.078125, 47.203125]","[310.78125, 1001.78125]",382,stand
382,[     191.88      459.75],[     191.12      455.25],[        190         455],[      169.5       452.5],[     178.62       452.5],[      151.5      471.75],[      184.5      471.25],[     144.38       501.5],[     190.12      500.25],[     155.25       518.5],[     189.12         519],[     155.62         532],[     179.62         532],[      161.5         577],[      186.5         578],[     161.12         617],[     183.25       620.5],133.92429858863494,194.029980179536,"[140.21875, 204.96875]","[435.6328125, 627.0078125]",383,walk
383,[     192.38         459],[     191.88       454.5],[     190.38      454.25],[        171         452],[     178.62      452.25],[     152.25       471.5],[     184.75      471.25],[     144.38      500.75],[      190.5         502],[     154.38         518],[     189.12       518.5],[      156.5       532.5],[     180.38       532.5],[     162.12       577.5],[     186.75       578.5],[      161.5       617.5],[     183.25         621],134.8302072749081,195.35516943869757,"[140.078125, 205.265625]","[436.1015625, 627.4765625]",384,stand
384,[      192.5         459],[     192.12       454.5],[      190.5         454],[        172         452],[     178.62      451.75],[     152.62         471],[      184.5      471.25],[      143.5      499.25],[        191       504.5],[      152.5       517.5],[        195       520.5],[     156.75       532.5],[     180.25         533],[     162.12       577.5],[        187       578.5],[     161.75       617.5],[     183.62       620.5],135.8488418863412,177.02493899366536,"[139.5625, 205.625]","[435.75, 627.125]",385,stand
385,[     6.9375      303.25],[     8.5938         284],[    0.48438       282.5],[      11.25         301],[     10.203      296.75],[     9.1562         395],[     13.562         389],[     24.031       512.5],[     28.438         513],[     35.844       622.5],[     25.375       630.5],[       4.25         629],[     10.766         626],[     10.375       789.5],[     12.922         789],[     20.938         960],[         20         961],181.08572466633265,188.33350531164857,"[-0.3125, 84.8125]","[207.375, 1018.875]",386,walk
386,[     12.766      308.25],[     19.375      293.75],[      4.125       292.5],[     27.375       307.5],[    -6.4688      292.75],[     10.156      392.75],[     3.8438       387.5],[     17.562       512.5],[     14.484         514],[      37.25       609.5],[      14.75       616.5],[     4.9375         624],[     5.4844         622],[       6.25         787],[        7.5         785],[     18.344         958],[     17.125         959],172.06597105836252,184.65967140689114,"[0.109375, 81.859375]","[215.703125, 1017.203125]",387,stand
387,[     27.203      309.75],[     34.062      295.25],[     13.859      294.25],[     40.562         307],[    -8.4375       292.5],[     13.781      393.25],[     4.2188         391],[     12.156         519],[     10.781         519],[     33.031       610.5],[      20.25       616.5],[      6.625         634],[     5.3594       633.5],[     6.4688       796.5],[     6.9219       795.5],[     11.875         959],[      12.25       960.5],166.40801775798008,177.38805103768598,"[0.3125, 79.8125]","[225.171875, 1018.671875]",388,stand
388,[     42.562       309.5],[     49.312      294.75],[     26.938       293.5],[     54.594      305.75],[    -3.2812         291],[     29.125         394],[     7.1094         392],[     24.531         514],[     10.344         512],[      43.25         601],[     12.625         607],[     14.562       631.5],[     7.0625         632],[     8.8438       798.5],[     7.7812       798.5],[      9.375         957],[     9.9688         959],165.66518125260458,180.16833826883013,"[0.4375, 79.375]","[225.125, 1020.125]",389,stand
