,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,LE_angle,RE_angle,Xbound,Ybound,frame_num,action
16,[        830      345.25],[      845.5         333],[      815.5      331.25],[      865.5       345.5],[        793      342.75],[        899       453.5],[        745         445],[      916.5         578],[      718.5       566.5],[        921       683.5],[      707.5       670.5],[        861         686],[      763.5         682],[        853         853],[        758       849.5],[        846        1008],[      755.5      1009.5],185.55878786948108,173.733758967363,"[680.375, 958.125]","[275.0, 1069.5]",17,stand
17,[        830         345],[      845.5       332.5],[      815.5      331.25],[      865.5         345],[        793      342.25],[        899      453.25],[      745.5      444.75],[      916.5       577.5],[      718.5       566.5],[        921         683],[      707.5       670.5],[      861.5       685.5],[      763.5       681.5],[        853         852],[      758.5         849],[        846        1007],[      755.5      1008.5],185.57467776299822,173.53379143584223,"[680.75, 958.0]","[274.8125, 1069.3125]",18,stand
18,[        830      344.25],[        846         332],[      815.5       330.5],[        866       344.5],[        793      341.75],[        899         453],[      745.5         444],[        916       577.5],[        719         566],[        921         683],[        708         670],[      861.5         685],[      763.5       681.5],[        853       851.5],[      758.5         848],[      845.5      1006.5],[      755.5        1008],185.06202463412674,173.78265794768402,"[680.6875, 957.9375]","[273.625, 1069.625]",19,stand
19,[        830         344],[        846       331.5],[      815.5         330],[        866         344],[      792.5       341.5],[      898.5       452.5],[        745         444],[        916         577],[      718.5         566],[        921       682.5],[        708       670.5],[      861.5         685],[      763.5         681],[        853       851.5],[      758.5         848],[      845.5      1006.5],[      755.5        1008],185.28779373510483,173.48271009631753,"[680.875, 957.625]","[273.3125, 1069.3125]",20,stand
20,[      830.5      343.75],[        846      331.25],[      815.5         330],[      865.5      343.75],[      792.5      341.25],[      898.5       452.5],[        745         444],[        916         577],[      718.5       565.5],[        921         683],[        708       670.5],[      861.5         685],[      763.5         681],[        853       851.5],[        758         848],[      845.5        1006],[        755      1007.5],185.3005738427429,173.40666958343974,"[680.9375, 957.6875]","[273.09375, 1069.09375]",21,stand
21,[      830.5         343],[        846       330.5],[      815.5         329],[      865.5      343.25],[      792.5      340.75],[      898.5         452],[        745       443.5],[        916         577],[      718.5         565],[        921       682.5],[        708         670],[      861.5         684],[      763.5       680.5],[        853         850],[        758       847.5],[      845.5        1005],[        755        1007],185.25620094928803,173.40666958343974,"[680.875, 957.625]","[272.84375, 1068.84375]",22,stand
22,[        830         343],[        846       330.5],[      815.5         329],[      865.5         343],[      792.5       340.5],[      898.5      451.75],[        745      443.25],[        916         577],[      718.5         565],[        921         682],[        708       669.5],[      861.5         684],[      763.5         680],[        853       850.5],[        758         847],[        845      1005.5],[      754.5        1007],185.22759578073817,173.45830853957327,"[680.5625, 957.8125]","[272.5625, 1068.5625]",23,stand
23,[      830.5         343],[        846       330.5],[      815.5      328.75],[      865.5         343],[      792.5      340.25],[      898.5       451.5],[        745         443],[        916         577],[      718.5       564.5],[      920.5       682.5],[        708       669.5],[        861         684],[      763.5         680],[        853         851],[        758         847],[        845        1005],[      754.5        1007],185.4958492128884,173.40666958343974,"[680.9375, 957.6875]","[272.40625, 1068.40625]",24,stand
24,[      830.5      342.75],[        846      330.25],[      815.5      328.75],[        866      342.75],[        793      340.25],[      898.5      451.25],[        745         443],[      916.5       576.5],[        719       564.5],[        921         682],[        708       669.5],[        861         684],[      763.5         680],[        853         851],[        758         847],[      844.5      1004.5],[      754.5      1006.5],185.73571367056851,173.90194581425064,"[681.0, 957.75]","[272.25, 1068.25]",25,stand
25,[      830.5       342.5],[        846         330],[      815.5      328.75],[        866       342.5],[        793      339.75],[        899         451],[        745       442.5],[        916       576.5],[      718.5         564],[        921         682],[      708.5         669],[      861.5       683.5],[      763.5       679.5],[        853       850.5],[        758         846],[      844.5        1004],[      754.5        1006],185.00081794926552,173.1364084769456,"[680.875, 958.125]","[272.09375, 1068.09375]",26,stand
26,[      830.5      342.25],[        846      329.75],[        816      328.25],[        866         342],[        793      339.75],[        899         451],[      745.5         442],[      916.5       576.5],[        719       563.5],[        921         682],[        708         669],[      861.5         683],[      763.5         679],[      853.5         850],[        758         846],[      844.5        1004],[      754.5        1006],185.4958492128884,173.6485358839076,"[681.25, 957.75]","[271.96875, 1067.96875]",27,stand
27,[      830.5      342.25],[        846       329.5],[        816      328.25],[      866.5      341.25],[      793.5         339],[        899       450.5],[      745.5       441.5],[        917       575.5],[        719         563],[        921       681.5],[      708.5       668.5],[      861.5         683],[      763.5         679],[      853.5         850],[        758       845.5],[      844.5        1004],[        755      1005.5],186.03318384640383,173.3797827813246,"[681.125, 958.375]","[270.90625, 1068.40625]",28,stand
28,[        831         342],[      846.5      329.25],[      816.5      327.75],[      866.5         341],[      793.5      338.75],[        900      450.25],[        746      441.25],[        918         575],[        719       562.5],[      921.5       681.5],[      708.5         668],[        862       682.5],[      763.5       678.5],[        854         850],[      758.5         846],[        845        1004],[        755      1005.5],186.32817859549974,173.1298840984562,"[681.25, 958.75]","[270.6875, 1068.1875]",29,stand
29,[      831.5         342],[        847      329.25],[        817      327.75],[        867       340.5],[        794         338],[        900      450.25],[        746         441],[        918         575],[      719.5       562.5],[      921.5       681.5],[      708.5       667.5],[        862       682.5],[        764       678.5],[        854         850],[      758.5       845.5],[        845        1003],[        755      1004.5],186.32817859549974,173.67667597070354,"[681.4375, 959.1875]","[270.40625, 1067.90625]",30,stand
30,[        832         342],[      847.5         329],[      817.5       327.5],[      867.5      340.25],[      794.5      337.25],[      900.5         450],[      746.5       440.5],[        919       574.5],[      719.5       561.5],[        922         682],[      708.5         667],[        862         682],[        764         678],[        854         850],[      758.5         845],[      845.5      1002.5],[        755      1003.5],186.85344827687877,173.3735242004745,"[681.75, 959.5]","[269.96875, 1067.46875]",31,stand
